,date,hold_stock,real_return,Cumulative_return
0,2019-01-04,4502 JT,0.0,1.0
1,2019-01-21,6366 JT,0.1923472464134988,1.1923472464134988
2,2019-02-04,2802 JT,-0.040997214484679634,1.1434643306120673
3,2019-02-19,5707 JT,-0.004987752012325373,1.1377610140960346
4,2019-03-05,7004 JT,0.0661457849582181,1.213019109468275
5,2019-03-19,5801 JT,-0.007747278406012635,1.2036215127154106
6,2019-04-03,4523 JT,0.0667721927524334,1.2839899603634195
7,2019-04-17,1925 JT,0.005557063609851644,1.29112517424757
8,2019-05-09,6366 JT,-0.035494336716380366,1.2452975425698314
9,2019-05-23,5631 JT,-0.002,1.2428069474846917
10,2019-06-06,4689 JT,0.0778479422467746,1.33955691095637
11,2019-06-20,7733 JT,0.09422018094938478,1.465770205498678
12,2019-07-04,5706 JT,-0.011083403792863988,1.4495244824435871
13,2019-07-19,5703 JT,0.024305307713490487,1.4847556210276165
14,2019-08-02,9107 JT,-0.16499559267562325,1.2397774873577019
15,2019-08-19,5541 JT,-0.16633021806853587,1.0335650275290338
16,2019-09-02,7004 JT,-0.05074586112162527,0.9811158801818767
17,2019-09-17,4755 JT,0.04889846281719535,1.02909093856831
18,2019-10-02,2432 JT,-0.01992460134511409,1.0085867118694671
19,2019-10-17,9064 JT,-0.0040682522724089214,1.0044835266869827
20,2019-11-01,2432 JT,0.011243146560296905,1.0157770821949283
21,2019-11-18,7735 JT,-0.07120602222245252,0.9434476367070983
22,2019-12-02,7004 JT,-0.007235607341105952,0.9366212200609914
23,2019-12-16,3101 JT,0.009494323827341724,0.9455138052278103
24,2019-12-30,7003 JT,0.018208244934005302,0.9627299521818816
25,2020-01-20,2501 JT,0.10249438202247196,1.0614043636852875
26,2020-02-03,3103 JT,0.013672776193506488,1.0759167080007677
27,2020-02-18,6361 JT,-0.09918670076726344,0.9692000794337964
28,2020-03-04,3401 JT,-0.09906705425476724,0.8731842825808037
29,2020-03-18,4901 JT,-0.17639999145805219,0.7191545825922445
30,2020-04-02,9202 JT,0.043594060230126574,0.7505054507805423
31,2020-04-16,4061 JT,0.07552110173256321,0.8071844492797828
32,2020-05-01,9064 JT,-0.004332810988132095,0.8036870716284941
33,2020-05-20,4061 JT,0.12546671406635168,0.9045230476433298
34,2020-06-03,7003 JT,0.05349174169959881,0.9529075608692007
35,2020-06-17,1332 JT,-0.12887813021702846,0.8300986161547089
36,2020-07-01,7003 JT,-0.053440378759732066,0.7857378316994719
37,2020-07-15,9501 JT,0.07046376811594213,0.8411038800722667
38,2020-07-31,7751 JT,-0.14834146341463414,0.7163332996186197
39,2020-08-17,3101 JT,0.12210504113292565,0.8038012066334356
40,2020-08-31,4004 JT,0.00992052980132452,0.8117753404581832
41,2020-09-14,2432 JT,-0.002,0.8101517897772669
42,2020-09-30,9437 JT,0.057791552386176726,0.8569717193769346
43,2020-10-15,7013 JT,-0.003544401544401497,0.8539342674912666
44,2020-10-29,6305 JT,-0.03413751868460391,0.8247830704793598
45,2020-11-13,6770 JT,0.037215686274509885,0.8554779384748467
46,2020-11-30,5101 JT,-0.0841052631578948,0.7835277413336463
47,2020-12-14,9202 JT,0.04593169106056228,0.8195164954859635
48,2020-12-28,7004 JT,-0.1319858270905041,0.7113519330149373
49,2021-01-14,6753 JT,0.1232115059221659,0.7989986759223514
50,2021-01-28,9007 JT,0.2786539509536785,1.0216428137748723
51,2021-02-12,9107 JT,0.11370247933884305,1.1378061346997872
52,2021-03-01,5631 JT,0.0862990249187432,1.235997694670943
